,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Fish1_Speed,Fish2_Speed,Speed_Diff,Spatial_Auto,Sync
4,2021,08,03,08,Y,N,0,individual8xindividual5,4,-0.4185898554676849,-2.1063490591764387,2.147539016221574,-101.20108181611623,176.66065454129404,1.945453471810287,0.8242797534405678,1.121173718369719,-0.9507127250574893,0.4344924769189287
5,2021,08,03,08,Y,N,0,individual8xindividual5,5,0.3651671666212163,-2.183836651213526,2.2141566292296657,-80.61547481738558,174.80816889827386,1.5620858918686393,0.6648093501790149,0.8972765416896242,-0.9854418507964704,0.28361703855886217
6,2021,08,03,08,Y,N,0,individual8xindividual5,6,1.012665939460049,-2.1696239432778834,2.39431834979962,-65.1048977171409,177.59887958310193,1.2938467507322782,0.8595044572258235,0.43434229350645476,-0.883403419258595,0.2290396854680394
0,2021,08,03,08,Y,N,0,individual6xindividual7,0,,,,,,0.9291413031650144,,,,0.3917283582084625
1,2021,08,03,08,Y,N,0,individual6xindividual7,1,2.1494510499045543,-1.2763460594491411,2.499839810749309,-30.761204054539128,100.60756621992697,1.7223574053519757,1.0172781326092324,0.7050792727427437,0.12798866973314435,0.3934457206180287
2,2021,08,03,08,Y,N,0,individual6xindividual7,2,2.2881922552495224,-0.9558832833378785,2.479825931058206,-22.631956983728113,49.70199182808695,1.8779710988483378,0.9523449930840392,0.9256261057642986,0.7565420020973728,0.3934457206180287
3,2021,08,03,08,Y,N,0,individual6xindividual7,3,2.286986092173439,-0.6574295064085083,2.379604786869297,-16.030925685859913,35.04241413014204,1.4254400401679275,1.0405992532997386,0.3848407868681887,0.7242116954836422,0.3866921717786049
4,2021,08,03,08,Y,N,0,individual6xindividual7,4,2.3494775020452687,-0.4449877283883284,2.391246246423208,-10.73159071674525,34.58845323683243,1.2765357748652557,1.2055371446013219,0.07099863026393355,0.8498163441498082,0.43076045045394923
5,2021,08,03,08,Y,N,0,individual6xindividual7,5,2.4308006544859553,-0.3304616853013361,2.4531605628864877,-7.749534222752264,22.30347629132703,1.0391851406115908,1.152388254549139,-0.11320311393754806,0.8691720965166247,0.7908901283832752
6,2021,08,03,08,Y,N,0,individual6xindividual7,6,2.4803166075811287,-0.15603217889282792,2.485219610958517,-3.6091648990377125,25.094382357471027,1.1252908195775628,1.3437657008210728,-0.21847488124351058,0.7283850088202631,0.4237668739059877
7,2021,08,03,08,Y,N,0,individual6xindividual7,7,2.585438505590401,0.0798164712298882,2.586670240921544,1.75250473678705,34.92687013039155,1.097155018634879,1.5176093012454492,-0.42045428261057033,0.5224473397799809,0.5206497407182655
