,Year,Month,Day,Trial,Ablation,Darkness,Flow,Fish,Tailbeat_Num,X_Distance,Y_Distance,Distance,Angle,Heading_Diff,Speed_Diff,Sync
2,2021,10,06,39,Y,N,0,individual6xindividual7,2,-0.8228385601308973,1.6771990728115627,1.8681702347158446,116.1271560148261,19.973515444536496,0.24658289467512867,0.07941021845752827
3,2021,10,06,39,Y,N,0,individual6xindividual7,3,-0.7641521679847288,1.6522538860103626,1.8204041967849078,114.81683516677968,10.231469109115517,0.3327597898813918,0.20672245564949532
4,2021,10,06,39,Y,N,0,individual6xindividual7,4,-0.6644248704663213,1.543436323970548,1.68037379610785,113.29590356653362,7.849961963904048,0.33701089677498447,0.3817767817884501
5,2021,10,06,39,Y,N,0,individual6xindividual7,5,-0.5651859830924459,1.547040087264794,1.6470483378117462,110.0650681483674,8.140092912954163,0.34101738919093616,0.5653344027552404
6,2021,10,06,39,Y,N,0,individual6xindividual7,6,,,,,,,0.708188651641037
7,2021,10,06,39,Y,N,0,individual6xindividual7,7,-0.4416286752349056,1.724426397853092,1.7800792927289302,104.3816279366758,17.64999175495322,0.7842404849473074,0.8249828528105766
8,2021,10,06,39,Y,N,0,individual6xindividual7,8,-0.3754265066812106,1.828193346059449,1.866342940752021,101.61059372249713,21.968420031065268,0.2996414128365058,0.8724215319186025
9,2021,10,06,39,Y,N,0,individual6xindividual7,9,-0.3254065994000547,1.875803926915735,1.903819799026578,99.84196487889645,20.703180798847995,0.21114043719527936,0.8643027748121522
0,2021,10,06,39,Y,N,0,individual6xindividual8,0,1.5148813744205072,-0.34306763021543485,1.5532420859182896,-12.865724112452838,161.43241767764377,-0.003026242242735797,0.7732482411447149
1,2021,10,06,39,Y,N,0,individual6xindividual8,1,1.7465148622852469,0.047698118352876975,1.7471660695760034,1.4466962512317643,161.55101913219988,-0.4207837055190111,0.7070891312255486
2,2021,10,06,39,Y,N,0,individual6xindividual8,2,1.8767965639487323,0.3704807744750478,1.9130136817872994,11.241894892163947,131.19016882854368,-1.0855003540619075,0.8574801486694954
3,2021,10,06,39,Y,N,0,individual6xindividual8,3,,,,,,,0.6353466228569835
4,2021,10,06,39,Y,N,0,individual6xindividual8,4,,,,,,,0.3299130248647797
